server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg
ref,put-reserve-delete,1,16,1,1,46066.1,33.9,19.3,52.8,85.7,19.8,53.8,86.0,19.1,52.8,88.7,6.99
rs,put-reserve-delete,1,16,1,1,46842.7,37.8,18.7,47.5,78.1,19.7,47.6,72.4,18.7,47.8,75.4,6.67
ref,put-reserve-delete,1,16,1,2,43316.1,32.8,20.3,56.0,117.3,20.8,57.0,119.1,20.1,56.4,118.2,6.53
rs,put-reserve-delete,1,16,1,2,42715.5,37.4,20.8,53.5,93.1,21.8,54.0,87.6,20.8,54.6,94.4,6.33
ref,put-reserve-delete,1,16,1,3,47381.5,33.7,19.0,46.5,78.9,19.5,47.0,79.0,18.8,45.1,77.0,6.38
rs,put-reserve-delete,1,16,1,3,46216.7,37.6,19.1,50.2,85.9,20.1,50.9,83.1,19.2,50.9,87.0,6.35
ref,put-reserve-delete,1,4096,1,1,47042.0,34.1,19.5,46.3,86.2,19.6,46.5,88.0,18.5,45.0,79.8,6.24
rs,put-reserve-delete,1,4096,1,1,41750.1,38.0,21.8,54.8,93.4,22.3,55.6,91.1,20.7,54.3,94.0,5.98
ref,put-reserve-delete,1,4096,1,2,43578.2,33.5,20.6,56.2,108.0,20.5,56.5,105.8,19.5,54.9,103.8,6.15
rs,put-reserve-delete,1,4096,1,2,37528.6,37.2,23.0,71.4,179.6,23.7,71.1,115.6,22.0,70.2,129.0,5.97
ref,put-reserve-delete,1,4096,1,3,37385.3,32.8,24.1,68.4,122.0,23.7,65.9,108.0,22.6,66.3,159.7,5.90
rs,put-reserve-delete,1,4096,1,3,37707.6,37.5,23.3,66.6,115.3,24.0,66.3,105.0,22.2,67.2,104.7,5.74
ref,put-reserve-delete,10,16,1,1,109025.7,85.9,83.0,220.5,398.2,84.0,221.0,386.8,82.4,218.2,373.6,5.92
rs,put-reserve-delete,10,16,1,1,115129.5,187.2,81.5,185.5,275.4,82.7,186.8,263.9,81.0,184.7,266.0,5.93
ref,put-reserve-delete,10,16,1,2,59564.5,58.2,100.4,1152.9,2332.0,101.4,1155.2,2567.6,100.0,1176.6,2486.1,6.02
rs,put-reserve-delete,10,16,1,2,31461.0,48.5,225.5,1959.0,4630.8,226.8,1995.9,4966.8,224.0,2048.0,4987.7,6.09
ref,put-reserve-delete,10,16,1,3,38508.3,45.7,168.7,1772.2,4031.2,169.8,1776.0,4043.4,168.1,1836.9,4179.8,7.52
