server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode
ref,put-reserve-delete,10,4096,1,1,26852.3,35.2,245.4,412.2,7541.1,154.1,303.4,7081.6,177.3,342.8,7212.6,4.66,0,0,f0
rs,put-reserve-delete,10,4096,1,1,31393.1,59.2,163.7,284.2,1935.2,146.4,255.8,1863.6,149.9,274.4,1869.2,4.60,0,0,f0
ref,put-reserve-delete,10,4096,1,2,29006.9,41.7,264.1,580.5,8107.7,169.3,407.2,7149.5,192.5,447.4,7268.2,4.31,0,0,f0
rs,put-reserve-delete,10,4096,1,2,27399.3,52.2,164.5,313.8,1985.4,147.0,283.4,1959.3,151.1,303.2,1964.7,4.29,0,0,f0
ref,put-reserve-delete,10,4096,1,3,20870.2,27.2,241.4,370.1,7499.2,151.2,272.0,7336.7,174.1,303.8,8023.9,4.35,0,0,f0
rs,put-reserve-delete,10,4096,1,3,31026.2,62.3,168.3,304.8,2062.5,149.2,277.8,1807.4,152.8,300.0,1934.4,4.24,0,0,f0
ref,put-reserve-delete,10,4096,1,4,21019.2,27.6,246.7,395.2,7633.9,156.2,293.9,7240.5,178.0,322.1,7535.0,4.22,0,0,f0
rs,put-reserve-delete,10,4096,1,4,23772.1,47.9,167.7,313.5,2116.8,150.0,277.6,1888.0,154.0,302.0,1959.0,3.96,0,0,f0
ref,put-reserve-delete,10,4096,1,5,27520.5,35.8,244.6,384.8,7620.8,152.5,283.6,7136.3,176.1,308.2,7132.8,4.12,0,0,f0
rs,put-reserve-delete,10,4096,1,5,25392.1,48.7,164.5,305.5,1900.5,148.1,277.0,1881.5,152.4,293.7,1868.2,3.87,0,0,f0
ref,put-reserve-delete,100,4096,1,1,23086.8,29.8,2518.6,10839.7,533331.7,1488.4,8515.9,461746.0,1568.3,8519.8,531796.4,4.20,0,0,f0
rs,put-reserve-delete,100,4096,1,1,24022.4,49.7,1894.0,3217.0,479138.8,1476.4,3062.2,537371.4,1405.0,3363.1,550842.8,3.70,0,0,f0
ref,put-reserve-delete,100,4096,1,2,22973.2,29.7,2479.4,10397.2,535475.7,1511.2,8682.3,422125.5,1612.8,8755.7,844742.2,3.49,0,0,f0
rs,put-reserve-delete,100,4096,1,2,23680.5,52.9,1829.7,3414.6,501182.9,1546.9,7477.5,604552.4,1496.5,3370.6,502202.1,3.53,0,0,f0
ref,put-reserve-delete,100,4096,1,3,22864.6,36.9,3029.8,24139.3,461068.9,1681.7,15519.5,857284.2,2011.6,15594.9,234935.5,3.33,0,0,f0
rs,put-reserve-delete,100,4096,1,3,31019.4,61.2,1891.8,3121.8,471643.7,1432.8,2869.0,303505.8,1353.4,2984.8,471292.4,3.14,0,0,f0
ref,put-reserve-delete,100,4096,1,4,24017.1,31.2,2502.1,10236.1,577598.9,1500.7,8702.8,443068.4,1611.3,8917.8,530161.7,3.21,0,0,f0
rs,put-reserve-delete,100,4096,1,4,21036.9,40.4,1867.6,3643.0,570039.5,1437.9,3076.2,592740.2,1359.1,3295.6,569027.5,3.11,0,0,f0
ref,put-reserve-delete,100,4096,1,5,24469.3,31.7,2527.3,9844.6,486489.0,1549.1,8880.2,455831.9,1584.7,8745.9,485227.5,3.18,0,0,f0
rs,put-reserve-delete,100,4096,1,5,25790.5,50.2,1879.5,3221.1,520544.6,1445.6,2954.0,555471.4,1376.8,3223.0,481437.2,3.49,0,0,f0
ref,producers-consumers,10,4096,1,1,26293.5,37.3,246.1,469.3,7713.1,155.9,322.5,6980.1,190.8,387.2,7138.3,3.61,0,0,f0
rs,producers-consumers,10,4096,1,1,22500.5,47.3,172.9,368.8,2991.8,166.1,345.5,9621.4,169.6,365.7,1681.0,3.89,0,0,f0
ref,producers-consumers,10,4096,1,2,25991.7,36.0,239.0,397.2,7164.0,151.9,279.0,7010.1,184.8,323.0,6983.5,3.66,0,0,f0
rs,producers-consumers,10,4096,1,2,29478.8,61.3,170.5,355.0,1665.9,164.1,331.5,1650.1,167.0,356.8,1640.8,3.79,0,0,f0
ref,producers-consumers,10,4096,1,3,23987.4,33.7,242.7,432.5,8572.2,153.2,302.1,7225.8,188.8,351.8,7361.2,3.57,0,0,f0
rs,producers-consumers,10,4096,1,3,23718.0,49.6,172.0,362.9,1971.0,165.2,341.8,1987.2,168.8,360.4,2240.0,3.87,0,0,f0
ref,producers-consumers,10,4096,1,4,23943.2,34.2,241.1,533.0,19001.5,152.3,360.2,7114.2,188.0,430.3,8652.4,3.56,0,0,f0
rs,producers-consumers,10,4096,1,4,25102.2,52.1,169.8,360.4,1656.3,163.3,336.3,1649.3,166.4,355.4,1646.2,3.62,0,0,f0
ref,producers-consumers,10,4096,1,5,20234.8,29.1,245.4,549.9,8527.7,155.4,379.4,7225.7,191.0,425.2,7342.8,3.65,0,0,f0
rs,producers-consumers,10,4096,1,5,21750.4,46.3,171.0,371.4,3634.2,164.4,353.9,1956.9,167.7,371.7,7483.2,3.91,0,0,f0
ref,producers-consumers,100,4096,1,1,27197.9,36.4,2394.8,9437.1,453396.2,1525.8,8311.3,382093.2,1686.3,8502.1,506790.8,3.68,0,0,f0
rs,producers-consumers,100,4096,1,1,27988.4,57.8,1721.0,3602.2,421468.8,1715.4,3720.0,381348.6,1712.7,3425.6,529174.8,4.03,0,0,f0
ref,producers-consumers,100,4096,1,2,23159.4,31.5,2413.8,10179.9,499100.9,1531.6,8566.2,460247.4,1726.2,8851.9,460612.3,4.04,0,0,f0
rs,producers-consumers,100,4096,1,2,24210.2,50.4,1732.3,3733.4,376273.7,1725.4,3654.8,351362.5,1718.0,3649.7,498798.7,3.96,0,0,f0
ref,producers-consumers,100,4096,1,3,26769.9,37.0,2433.2,9879.2,390120.0,1582.2,8573.7,387607.7,1719.2,8656.4,388389.5,3.43,0,0,f0
rs,producers-consumers,100,4096,1,3,22558.0,47.2,1707.9,3910.8,473057.2,1706.4,3641.2,472569.0,1694.7,3621.4,561428.1,3.15,0,0,f0
ref,producers-consumers,100,4096,1,4,25254.6,34.2,2430.5,9921.1,391069.9,1558.4,8558.9,377069.8,1718.2,8792.5,378887.5,3.22,0,0,f0
rs,producers-consumers,100,4096,1,4,26305.7,54.8,1718.2,3672.8,466465.2,1715.5,3679.5,466268.3,1708.2,3436.5,522913.5,3.04,0,0,f0
ref,producers-consumers,100,4096,1,5,26849.1,48.8,3157.3,15460.3,271790.2,2094.0,11424.4,270275.0,2162.7,11845.1,270302.3,2.87,0,0,f0
rs,producers-consumers,100,4096,1,5,27876.5,60.2,1734.4,3582.9,433570.4,1731.3,3490.0,398781.5,1720.0,3671.8,473078.5,5.87,0,0,f0
