server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode
ref,put-reserve-delete,10,16,1,1,143185.5,72.4,73.7,117.1,176.5,74.2,118.0,177.8,73.5,117.2,176.8,6.10,0,0,none
rs,put-reserve-delete,10,16,1,1,157531.2,145.7,59.0,140.9,198.5,59.1,141.1,193.9,58.8,140.0,192.5,6.01,0,0,none
ref,put-reserve-delete,10,16,1,1,102900.7,90.3,101.6,190.8,244.6,91.2,175.5,219.1,99.3,187.0,237.0,6.09,0,0,F
rs,put-reserve-delete,10,16,1,1,138383.7,169.4,70.2,137.7,199.2,68.2,134.9,199.0,69.6,136.2,197.7,5.92,0,0,F
ref,put-reserve-delete,10,16,1,1,75989.8,80.9,136.2,233.0,335.2,118.1,209.9,292.8,131.0,227.5,308.0,5.93,0,0,default
rs,put-reserve-delete,10,16,1,1,110669.0,180.7,85.4,205.9,369.8,82.4,201.5,325.8,84.4,204.6,353.0,5.48,0,0,default
ref,put-reserve-delete,10,16,1,1,32846.0,64.9,320.3,548.5,1511.2,267.8,480.2,1487.9,315.2,533.1,1552.4,6.33,0,0,f0
rs,put-reserve-delete,10,16,1,1,56800.8,160.2,182.5,297.5,408.6,164.2,281.8,372.0,169.2,295.7,403.0,6.30,0,0,f0
ref,put-reserve-delete,10,16,1,2,64921.1,94.5,155.6,248.8,397.2,156.8,250.0,405.7,155.0,248.6,425.0,6.68,0,0,none
rs,put-reserve-delete,10,16,1,2,86646.4,163.3,112.1,215.6,282.0,112.4,215.4,286.1,111.8,214.4,278.8,6.86,0,0,none
ref,put-reserve-delete,10,16,1,2,47345.6,81.7,209.6,404.2,963.0,185.5,369.7,943.0,205.5,398.1,935.6,7.11,0,0,F
rs,put-reserve-delete,10,16,1,2,79628.3,204.5,121.9,228.4,330.3,118.2,226.4,318.5,120.8,226.1,300.5,7.66,0,0,F
ref,put-reserve-delete,10,16,1,2,47566.7,82.4,209.5,404.7,684.9,184.7,373.1,551.6,204.8,397.0,681.0,8.09,0,0,default
rs,put-reserve-delete,10,16,1,2,79267.0,204.0,122.2,233.8,330.2,118.7,230.0,316.2,121.4,230.6,320.6,8.56,0,0,default
ref,put-reserve-delete,10,16,1,2,32215.3,64.7,326.4,561.9,1599.5,270.6,497.4,1574.1,320.8,552.8,1413.3,8.76,0,0,f0
rs,put-reserve-delete,10,16,1,2,56709.3,162.2,184.3,303.1,382.8,164.9,284.8,346.5,170.5,298.2,382.2,8.94,0,0,f0
ref,put-reserve-delete,10,16,1,3,65984.4,95.1,153.5,243.8,346.2,154.8,243.1,323.8,153.2,242.0,330.9,9.02,0,0,none
rs,put-reserve-delete,10,16,1,3,87946.7,162.6,110.5,212.3,266.7,111.0,214.0,273.0,110.3,212.3,272.5,9.02,0,0,none
ref,put-reserve-delete,10,16,1,3,47053.0,83.3,225.2,396.6,769.5,198.2,363.9,691.6,219.2,389.5,744.8,9.34,0,0,F
rs,put-reserve-delete,10,16,1,3,115758.6,176.4,78.3,208.1,356.7,76.2,206.5,362.6,77.8,206.0,350.7,9.23,0,0,F
ref,put-reserve-delete,10,16,1,3,103708.2,90.4,101.1,187.2,238.2,90.5,171.8,222.6,98.9,185.1,236.8,9.45,0,0,default
rs,put-reserve-delete,10,16,1,3,131368.5,173.2,72.8,160.7,228.9,70.7,157.4,222.5,72.2,159.5,227.0,9.10,0,0,default
ref,put-reserve-delete,10,16,1,3,50610.3,62.9,211.0,313.1,409.5,176.1,276.1,349.7,208.8,312.1,405.4,8.85,0,0,f0
rs,put-reserve-delete,10,16,1,3,66869.7,119.8,157.2,235.8,283.4,142.8,219.5,265.3,147.3,231.8,282.8,8.03,0,0,f0
ref,put-reserve-delete,10,4096,1,1,135948.5,73.4,81.7,131.0,193.5,74.9,117.2,181.0,72.9,115.8,178.1,7.79,0,0,none
rs,put-reserve-delete,10,4096,1,1,175791.8,138.1,55.0,109.3,143.8,54.7,108.5,142.2,54.0,107.7,140.8,7.49,0,0,none
ref,put-reserve-delete,10,4096,1,1,107989.9,95.1,95.4,201.8,6798.0,73.8,153.6,6570.4,75.8,157.8,6556.3,7.61,0,0,F
rs,put-reserve-delete,10,4096,1,1,134311.1,171.8,71.0,144.2,1513.3,68.4,137.9,1120.9,69.2,139.0,1095.5,7.48,0,0,F
ref,put-reserve-delete,10,4096,1,1,107790.7,94.6,94.9,194.3,6902.8,73.5,143.2,6725.7,75.6,145.0,6736.4,7.36,0,0,default
rs,put-reserve-delete,10,4096,1,1,132349.0,169.6,70.8,144.3,1620.4,68.2,137.2,1167.2,69.0,140.1,1209.9,6.93,0,0,default
ref,put-reserve-delete,10,4096,1,1,23498.7,30.2,237.5,380.6,7420.7,149.5,277.4,6944.9,171.8,308.3,592.1,7.02,0,0,f0
rs,put-reserve-delete,10,4096,1,1,24448.4,46.8,165.6,325.4,1977.9,148.6,291.4,1876.8,152.5,311.6,1918.1,6.62,0,0,f0
ref,put-reserve-delete,10,4096,1,2,135330.8,73.3,82.1,140.3,183.4,74.9,122.2,163.2,72.9,120.3,163.5,6.25,0,0,none
rs,put-reserve-delete,10,4096,1,2,181417.1,137.6,53.5,102.2,145.5,53.2,102.4,143.6,52.6,101.2,143.2,7.11,0,0,none
ref,put-reserve-delete,10,4096,1,2,103409.6,93.9,97.8,214.1,7235.5,76.3,162.6,6979.3,78.7,167.9,7011.0,8.22,0,0,F
