server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct
ref,put-reserve-delete,10,16,1,1,137345.5,70.9,76.8,123.3,196.2,77.4,123.9,195.8,76.5,123.5,195.6,8.76,0,0,none,
rs,put-reserve-delete,10,16,1,1,178108.0,130.4,53.5,111.3,184.9,53.6,111.9,186.5,53.3,110.7,187.9,8.78,0,0,none,
ref,put-reserve-delete,10,16,1,1,37059.1,36.1,274.4,439.6,511.2,274.2,439.7,504.1,274.2,439.3,502.2,8.55,0,0,tls,624.9
rs,put-reserve-delete,10,16,1,1,169496.4,142.0,56.0,123.2,196.8,56.1,123.0,194.1,55.8,122.6,197.7,8.91,0,0,tls,
ref,put-reserve-delete,10,16,1,1,37080.5,36.4,273.3,447.0,547.5,273.2,448.7,548.6,272.7,444.9,538.4,8.44,0,0,mtls,614.6
rs,put-reserve-delete,10,16,1,1,171005.5,143.0,56.0,115.5,164.7,56.1,115.6,166.2,55.8,114.8,165.7,8.48,0,0,mtls,
ref,put-reserve-delete,10,16,1,1,101901.9,91.0,102.4,192.7,340.5,91.4,177.0,297.3,100.0,189.2,323.0,8.36,0,0,default,
rs,put-reserve-delete,10,16,1,1,147140.2,167.2,66.2,123.5,177.2,64.2,121.5,172.8,65.8,123.0,176.0,8.09,0,0,default,
ref,put-reserve-delete,10,16,1,1,38577.4,53.5,259.8,451.5,622.2,252.3,441.2,552.0,257.7,451.1,575.6,7.93,0,0,tls-default,507.8
rs,put-reserve-delete,10,16,1,1,139596.1,174.1,69.8,133.9,186.3,67.6,130.1,185.4,69.1,132.8,187.3,8.33,0,0,tls-default,
ref,put-reserve-delete,10,16,1,2,138187.7,70.7,76.1,127.7,204.2,76.8,127.9,200.5,76.0,127.4,199.8,8.46,0,0,none,
rs,put-reserve-delete,10,16,1,2,181823.1,130.4,53.0,102.0,144.6,53.1,102.0,144.4,52.8,101.7,144.2,8.11,0,0,none,
ref,put-reserve-delete,10,16,1,2,36548.0,35.5,276.3,448.0,559.7,276.7,449.5,578.1,275.7,451.1,569.0,7.70,0,0,tls,626.8
rs,put-reserve-delete,10,16,1,2,173333.8,139.9,55.4,111.3,164.4,55.5,111.1,164.8,55.2,111.1,165.2,8.12,0,0,tls,
ref,put-reserve-delete,10,16,1,2,38209.6,36.8,264.8,428.0,503.9,265.0,425.3,509.2,263.9,422.9,506.7,8.03,0,0,mtls,615.2
rs,put-reserve-delete,10,16,1,2,174269.6,140.3,55.1,111.0,163.6,55.2,111.0,162.0,54.9,110.6,162.2,8.11,0,0,mtls,
ref,put-reserve-delete,10,16,1,2,103769.4,90.8,101.2,185.3,319.9,90.5,167.8,273.6,98.9,181.3,313.2,7.78,0,0,default,
rs,put-reserve-delete,10,16,1,2,148599.1,166.8,65.8,120.6,167.2,64.0,118.3,165.2,65.3,119.9,165.8,7.48,0,0,default,
ref,put-reserve-delete,10,16,1,2,38951.4,53.5,257.4,441.6,573.5,251.2,430.3,563.0,255.5,439.0,562.8,7.44,0,0,tls-default,514.3
rs,put-reserve-delete,10,16,1,2,141065.8,174.6,69.2,129.8,176.8,67.0,126.6,170.1,68.8,128.1,177.0,7.80,0,0,tls-default,
ref,put-reserve-delete,10,16,1,3,138373.0,71.1,75.3,145.7,246.5,76.0,147.0,242.4,75.2,144.0,240.3,7.74,0,0,none,
rs,put-reserve-delete,10,16,1,3,177376.2,130.9,53.2,120.2,211.6,53.3,119.6,214.2,53.0,119.8,211.8,7.68,0,0,none,
ref,put-reserve-delete,10,16,1,3,35919.3,35.9,281.4,440.3,502.4,281.2,436.8,505.7,281.2,438.7,495.4,7.02,0,0,tls,647.3
rs,put-reserve-delete,10,16,1,3,170065.3,140.8,56.3,116.4,198.2,56.3,116.5,199.6,56.0,115.6,194.5,7.42,0,0,tls,
ref,put-reserve-delete,10,16,1,3,36000.4,36.0,281.6,429.0,485.4,281.0,430.2,481.5,280.9,429.4,484.8,7.23,0,0,mtls,649.7
rs,put-reserve-delete,10,16,1,3,172757.1,140.7,55.6,110.6,162.7,55.7,110.8,164.6,55.4,110.2,165.2,7.69,0,0,mtls,
ref,put-reserve-delete,10,16,1,3,104928.6,91.1,100.8,165.5,226.3,90.3,150.5,213.4,98.6,163.6,223.7,7.55,0,0,default,
rs,put-reserve-delete,10,16,1,3,142943.6,164.2,68.5,125.5,180.5,66.7,122.8,176.5,68.0,124.3,177.5,7.27,0,0,default,
ref,put-reserve-delete,10,16,1,3,38508.9,53.0,261.8,429.4,510.8,254.5,416.3,503.7,259.1,423.9,493.2,7.01,0,0,tls-default,525.2
rs,put-reserve-delete,10,16,1,3,136004.3,171.9,71.9,132.2,199.5,69.8,130.2,193.6,71.2,131.8,198.0,7.73,0,0,tls-default,
ref,put-reserve-delete,10,4096,1,1,135547.1,71.3,82.8,121.9,169.3,75.9,109.5,158.0,74.0,109.0,155.9,7.59,0,0,none,
rs,put-reserve-delete,10,4096,1,1,177106.5,137.6,54.7,105.8,155.5,54.5,105.3,156.0,53.7,104.6,152.6,7.38,0,0,none,
ref,put-reserve-delete,10,4096,1,1,36140.5,37.8,287.1,439.6,501.0,278.7,427.8,491.5,274.5,423.4,491.3,7.27,0,0,tls,643.5
rs,put-reserve-delete,10,4096,1,1,160248.5,155.0,60.8,120.4,164.9,61.1,121.4,166.5,58.1,117.7,161.0,7.81,0,0,tls,
ref,put-reserve-delete,10,4096,1,1,36701.1,37.9,283.7,436.4,497.4,275.6,424.0,477.1,272.2,419.4,472.6,7.66,0,0,mtls,639.3
rs,put-reserve-delete,10,4096,1,1,159886.8,157.3,61.0,120.7,166.4,61.3,120.7,168.2,58.2,117.1,161.7,7.77,0,0,mtls,
ref,put-reserve-delete,10,4096,1,1,105766.0,95.3,96.4,182.0,7833.6,74.1,137.4,7492.4,76.4,142.4,7516.3,7.63,0,0,default,
rs,put-reserve-delete,10,4096,1,1,135536.7,168.7,69.2,137.7,1593.5,66.7,131.5,1114.6,67.5,134.5,1167.0,7.10,0,0,default,
ref,put-reserve-delete,10,4096,1,1,36057.1,53.6,279.6,475.2,7367.8,261.1,435.2,6953.9,259.0,438.3,7010.3,7.17,0,0,tls-default,555.5
rs,put-reserve-delete,10,4096,1,1,121475.1,181.4,78.0,157.3,1652.0,75.4,150.1,1151.1,74.0,149.8,1230.4,7.56,0,0,tls-default,
ref,put-reserve-delete,10,4096,1,2,132834.3,72.5,83.7,144.3,212.7,76.5,123.2,180.5,74.6,121.5,182.9,7.30,0,0,none,
rs,put-reserve-delete,10,4096,1,2,173701.7,139.4,55.7,111.0,149.0,55.5,110.4,146.5,54.7,109.2,144.2,7.11,0,0,none,
ref,put-reserve-delete,10,4096,1,2,36089.1,37.7,287.8,442.1,498.2,278.7,428.0,485.2,275.7,424.0,481.8,6.94,0,0,tls,643.2
rs,put-reserve-delete,10,4096,1,2,158269.2,156.3,61.4,125.8,202.6,61.6,126.7,202.6,58.4,121.6,200.3,7.43,0,0,tls,
ref,put-reserve-delete,10,4096,1,2,37143.6,39.1,279.0,436.9,525.2,270.9,425.7,496.4,266.6,417.8,500.4,7.23,0,0,mtls,623.8
rs,put-reserve-delete,10,4096,1,2,158291.8,156.1,61.4,126.1,207.4,61.4,126.5,210.8,58.5,122.4,207.6,7.13,0,0,mtls,
ref,put-reserve-delete,10,4096,1,2,105051.9,95.3,96.6,198.9,7828.6,74.2,148.9,7468.2,76.5,151.1,7226.1,7.04,0,0,default,
rs,put-reserve-delete,10,4096,1,2,133821.6,169.5,70.3,139.2,1622.8,67.6,132.8,1136.9,68.5,136.1,1121.8,6.96,0,0,default,
ref,put-reserve-delete,10,4096,1,2,36674.3,54.4,274.2,459.8,7492.9,255.8,427.5,7161.2,255.2,435.0,7239.2,6.48,0,0,tls-default,549.7
rs,put-reserve-delete,10,4096,1,2,119678.9,183.2,78.7,175.2,1748.2,75.9,166.9,1146.6,74.8,168.3,1158.9,6.76,0,0,tls-default,
ref,put-reserve-delete,10,4096,1,3,135954.9,71.7,82.3,121.1,154.6,75.7,109.5,143.2,73.8,108.6,141.0,6.94,0,0,none,
rs,put-reserve-delete,10,4096,1,3,176777.2,138.0,54.8,107.0,147.3,54.5,106.8,148.5,53.8,105.8,145.6,6.71,0,0,none,
ref,put-reserve-delete,10,4096,1,3,35769.4,37.7,290.5,446.3,522.5,280.8,434.6,506.3,277.1,427.7,490.3,6.81,0,0,tls,640.3
rs,put-reserve-delete,10,4096,1,3,158036.2,157.8,61.6,125.8,177.0,61.8,126.0,178.7,58.5,121.5,173.0,7.31,0,0,tls,
ref,put-reserve-delete,10,4096,1,3,37123.2,38.6,279.5,429.9,499.9,271.3,417.7,478.4,267.1,412.3,478.9,7.36,0,0,mtls,628.2
rs,put-reserve-delete,10,4096,1,3,159855.4,156.5,61.0,120.8,167.0,61.3,121.0,165.8,58.2,117.2,163.8,7.81,0,0,mtls,
ref,put-reserve-delete,10,4096,1,3,106643.7,95.4,96.0,175.8,7664.9,73.7,133.8,7349.7,75.8,138.0,7411.5,8.07,0,0,default,
rs,put-reserve-delete,10,4096,1,3,130988.8,171.3,71.2,157.8,1691.8,68.5,149.1,1193.7,69.5,154.2,1185.2,7.74,0,0,default,
ref,put-reserve-delete,10,4096,1,3,36861.8,54.8,272.6,487.0,7419.5,253.8,433.8,7124.3,252.2,441.2,7081.7,7.00,0,0,tls-default,536.4
rs,put-reserve-delete,10,4096,1,3,122382.8,181.3,77.6,151.3,1683.6,75.0,146.9,1156.6,73.8,145.2,1151.4,7.16,0,0,tls-default,
ref,put-reserve-delete,100,16,1,1,188156.8,98.7,522.8,700.1,1530.9,523.5,702.9,1520.6,522.8,700.5,1528.3,6.91,0,0,none,
rs,put-reserve-delete,100,16,1,1,209110.6,195.9,474.0,617.4,760.5,474.5,618.7,770.0,473.8,616.8,742.7,6.99,0,0,none,
ref,put-reserve-delete,100,16,1,1,24314.4,23.9,889.0,102006.0,124437.0,876.8,100306.2,123707.0,876.2,100259.4,124108.1,7.31,0,0,tls,1011.8
rs,put-reserve-delete,100,16,1,1,200679.5,221.0,494.0,652.5,766.9,494.5,654.4,766.2,493.9,652.8,765.9,15.14,0,0,tls,
ref,put-reserve-delete,100,16,1,1,23866.5,22.3,1216.3,84144.2,124843.9,1201.9,86410.7,124388.3,1205.8,90694.5,124793.1,14.40,0,0,mtls,1016.6
rs,put-reserve-delete,100,16,1,1,199518.5,223.6,496.0,664.9,872.5,496.5,665.0,870.5,496.0,666.1,866.0,21.42,0,0,mtls,
ref,put-reserve-delete,100,16,1,1,123786.9,97.7,789.0,1399.0,2944.6,768.2,1373.5,2901.5,779.1,1398.6,2933.8,20.26,0,0,default,
rs,put-reserve-delete,100,16,1,1,187941.8,264.8,529.7,682.2,893.0,528.2,680.1,849.2,529.2,680.4,852.5,18.88,0,0,default,
ref,put-reserve-delete,100,16,1,1,24048.5,36.5,783.6,107777.0,130646.5,758.2,108484.4,128386.5,773.0,105585.8,128494.7,17.77,0,0,tls-default,1002.8
rs,put-reserve-delete,100,16,1,1,178050.6,283.0,552.4,898.0,1865.4,551.1,895.8,1667.0,552.0,893.2,1685.1,23.07,0,0,tls-default,
ref,put-reserve-delete,100,16,1,2,186546.3,98.0,523.2,834.0,1013.0,524.2,839.2,1026.8,523.0,834.8,1028.4,22.10,0,0,none,
rs,put-reserve-delete,100,16,1,2,208812.8,195.7,474.7,618.0,716.6,475.2,619.6,720.2,474.5,618.4,716.0,20.81,0,0,none,
ref,put-reserve-delete,100,16,1,2,24060.9,22.4,1083.1,82179.7,125007.6,1095.4,86242.2,123968.3,1076.2,89854.7,127167.1,19.95,0,0,tls,1006.0
rs,put-reserve-delete,100,16,1,2,199330.2,221.1,494.4,678.0,1394.6,494.6,680.9,1375.3,494.2,678.4,1405.3,26.76,0,0,tls,
ref,put-reserve-delete,100,16,1,2,24368.4,23.2,1021.5,89943.5,123714.3,1023.5,85682.1,123958.9,1009.2,92003.8,123879.2,23.32,0,0,mtls,1014.0
rs,put-reserve-delete,100,16,1,2,201199.1,223.0,492.9,648.6,741.9,493.3,649.3,748.3,493.0,647.2,744.5,29.62,0,0,mtls,
ref,put-reserve-delete,100,16,1,2,126719.4,98.7,786.1,1058.9,1581.9,766.4,1015.5,1395.1,776.7,1044.1,1454.3,27.73,0,0,default,
rs,put-reserve-delete,100,16,1,2,189086.1,263.6,527.1,670.1,829.0,525.5,667.5,780.2,526.5,668.7,786.9,25.83,0,0,default,
ref,put-reserve-delete,100,16,1,2,24684.8,36.9,865.2,105785.7,124270.2,826.5,105465.2,124756.4,842.8,105485.7,124050.8,24.00,0,0,tls-default,993.9
rs,put-reserve-delete,100,16,1,2,179159.6,287.4,551.8,777.9,926.6,550.2,774.2,890.8,551.2,773.7,892.9,30.01,0,0,tls-default,
ref,put-reserve-delete,100,16,1,3,186565.7,98.6,521.5,767.5,1693.4,522.5,766.4,1663.4,521.4,767.2,1683.0,28.32,0,0,none,
rs,put-reserve-delete,100,16,1,3,209088.9,195.6,474.4,614.6,700.6,474.9,615.5,702.2,474.2,614.5,700.0,26.54,0,0,none,
ref,put-reserve-delete,100,16,1,3,23745.6,22.5,1192.5,83710.6,126016.6,1190.1,84532.7,125981.0,1172.4,75687.1,126187.0,24.89,0,0,tls,1025.6
rs,put-reserve-delete,100,16,1,3,198363.4,224.0,495.7,712.8,816.8,496.0,713.5,813.0,495.6,713.0,815.9,31.39,0,0,tls,
