server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct
ref,put-reserve-delete,10,16,1,1,180900.2,129.6,53.0,105.4,165.8,53.1,105.0,167.8,52.9,104.4,165.1,5.49,0,0,none,
rs,put-reserve-delete,10,16,1,1,181148.0,131.6,52.9,105.2,156.2,53.0,105.3,158.3,52.8,105.0,157.5,5.29,0,0,none,
ref,put-reserve-delete,10,16,1,2,181700.7,130.5,52.8,103.7,147.5,53.0,104.1,147.7,52.7,103.9,148.2,5.43,0,0,none,
rs,put-reserve-delete,10,16,1,2,177075.4,133.2,53.9,113.3,162.3,53.9,113.1,163.0,53.7,113.2,162.4,5.79,0,0,none,
ref,put-reserve-delete,10,16,1,3,179970.9,131.0,53.2,107.2,158.5,53.3,107.6,159.4,53.0,106.8,159.3,5.97,0,0,none,
rs,put-reserve-delete,10,16,1,3,180796.3,132.0,53.0,105.5,148.0,53.1,105.7,148.9,52.8,105.0,148.5,5.97,0,0,none,
ref,put-reserve-delete,10,4096,1,1,175255.8,136.4,54.8,112.5,165.4,54.7,112.5,167.2,53.9,111.2,166.3,5.90,0,0,none,
rs,put-reserve-delete,10,4096,1,1,173394.0,137.3,55.4,114.3,160.4,55.3,114.2,161.5,54.5,113.1,159.3,5.98,0,0,none,
ref,put-reserve-delete,10,4096,1,2,176170.5,136.5,54.8,109.4,155.0,54.5,108.6,152.4,53.8,108.1,152.8,5.98,0,0,none,
rs,put-reserve-delete,10,4096,1,2,176134.9,137.8,54.7,110.1,158.6,54.5,110.3,159.5,53.8,108.8,156.4,5.91,0,0,none,
ref,put-reserve-delete,10,4096,1,3,175846.3,137.3,54.8,109.9,155.5,54.7,110.2,151.2,53.9,108.8,152.4,5.83,0,0,none,
rs,put-reserve-delete,10,4096,1,3,175576.7,139.2,54.8,111.2,155.2,54.6,110.9,155.7,53.9,109.9,153.2,5.85,0,0,none,
ref,put-reserve-delete,100,16,1,1,208297.4,194.4,474.1,646.1,826.1,474.2,645.8,828.4,473.9,645.9,833.5,5.70,0,0,none,
rs,put-reserve-delete,100,16,1,1,207364.4,196.9,474.3,685.5,864.5,474.6,687.4,868.9,474.0,686.0,868.2,5.64,0,0,none,
ref,put-reserve-delete,100,16,1,2,209847.2,196.0,470.2,651.3,792.8,470.4,652.2,802.2,469.9,650.8,789.5,5.91,0,0,none,
rs,put-reserve-delete,100,16,1,2,208587.6,194.8,472.8,656.0,888.5,473.2,657.3,876.9,472.8,655.9,888.0,6.08,0,0,none,
ref,put-reserve-delete,100,16,1,3,205848.6,198.9,475.9,690.6,791.4,476.0,691.0,789.8,475.7,689.2,786.0,5.74,0,0,none,
rs,put-reserve-delete,100,16,1,3,206377.8,199.2,475.4,689.1,839.8,475.6,690.0,841.2,475.0,689.4,839.8,6.17,0,0,none,
ref,put-reserve-delete,100,4096,1,1,204514.9,205.0,483.5,656.2,803.1,483.7,658.2,802.3,482.7,654.9,803.3,6.47,0,0,none,
rs,put-reserve-delete,100,4096,1,1,204395.5,210.3,482.6,666.7,790.2,482.5,668.8,787.2,481.8,666.4,784.2,6.59,0,0,none,
ref,put-reserve-delete,100,4096,1,2,202930.7,206.1,484.6,694.9,1111.9,484.7,695.3,1046.8,483.8,694.8,1045.2,6.55,0,0,none,
