server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct
ref,put-reserve-delete,10,16,1,1,181250.0,130.7,52.9,104.5,154.8,53.0,104.9,155.8,52.7,103.9,154.4,6.26,0,0,none,
rs,put-reserve-delete,10,16,1,1,181816.3,131.9,52.8,104.0,164.9,52.9,104.1,169.0,52.6,103.4,168.2,6.24,0,0,none,
ref,put-reserve-delete,10,16,1,2,181062.9,130.3,53.1,103.2,154.0,53.1,103.3,154.1,52.9,103.0,154.0,6.14,0,0,none,
rs,put-reserve-delete,10,16,1,2,180697.3,132.5,53.0,106.9,159.2,53.1,107.1,160.3,52.8,106.3,158.6,6.37,0,0,none,
ref,put-reserve-delete,10,16,1,3,180227.1,130.8,53.2,105.8,159.8,53.3,105.9,158.7,53.1,105.8,158.7,6.42,0,0,none,
rs,put-reserve-delete,10,16,1,3,181107.5,131.8,52.9,105.6,163.8,53.1,106.4,166.8,52.7,105.6,164.0,6.54,0,0,none,
ref,put-reserve-delete,10,16,1,4,179705.5,132.1,53.1,110.5,166.3,53.2,111.0,164.8,53.0,110.3,163.9,6.58,0,0,none,
rs,put-reserve-delete,10,16,1,4,180758.2,132.5,53.1,104.5,154.8,53.2,105.0,155.3,53.0,104.8,157.0,6.45,0,0,none,
ref,put-reserve-delete,10,16,1,5,175429.5,134.2,54.3,115.9,167.3,54.4,115.8,166.2,54.0,115.8,167.8,6.42,0,0,none,
rs,put-reserve-delete,10,16,1,5,180723.5,132.3,53.1,105.2,160.9,53.2,104.8,162.8,52.9,104.6,162.4,6.30,0,0,none,
ref,put-reserve-delete,10,16,1,6,178175.6,133.0,53.6,111.0,162.2,53.7,111.1,162.0,53.4,110.8,162.6,6.20,0,0,none,
rs,put-reserve-delete,10,16,1,6,181993.3,131.6,52.9,102.3,156.0,53.0,102.5,155.9,52.6,102.0,153.7,6.18,0,0,none,
ref,put-reserve-delete,10,16,1,7,182056.0,131.6,52.8,104.3,158.3,52.8,104.6,157.6,52.6,103.9,156.4,6.09,0,0,none,
rs,put-reserve-delete,10,16,1,7,179151.2,132.8,53.5,107.8,164.8,53.6,108.5,166.1,53.2,107.2,162.6,5.84,0,0,none,
ref,put-reserve-delete,100,16,1,1,203910.1,201.9,479.4,698.8,930.8,479.5,698.5,927.6,479.2,695.8,927.3,5.93,0,0,none,
rs,put-reserve-delete,100,16,1,1,207299.5,197.7,476.8,636.3,759.2,477.1,637.1,766.2,476.6,635.4,762.5,5.78,0,0,none,
ref,put-reserve-delete,100,16,1,2,207858.3,198.6,475.4,642.5,931.3,475.7,641.1,901.0,475.0,640.2,899.2,5.79,0,0,none,
rs,put-reserve-delete,100,16,1,2,205753.2,201.4,476.8,730.7,893.8,476.9,729.2,892.8,476.5,727.6,888.7,5.81,0,0,none,
ref,put-reserve-delete,100,16,1,3,207915.5,196.3,476.5,625.0,789.8,476.8,626.1,799.6,476.2,623.4,777.1,5.30,0,0,none,
rs,put-reserve-delete,100,16,1,3,181408.5,206.0,498.0,1242.9,3343.4,498.2,1243.8,3189.5,498.0,1259.9,2988.5,5.19,0,0,none,
ref,put-reserve-delete,100,16,1,4,175093.8,209.7,510.0,1182.2,2791.8,510.2,1189.5,2634.2,509.8,1200.3,2654.5,6.46,0,0,none,
rs,put-reserve-delete,100,16,1,4,210604.9,190.9,464.8,696.4,880.6,464.8,696.2,877.8,464.5,694.9,878.3,6.90,0,0,none,
ref,put-reserve-delete,100,16,1,5,210162.3,192.7,468.6,673.8,858.0,469.0,677.0,862.9,468.4,675.1,858.3,6.99,0,0,none,
rs,put-reserve-delete,100,16,1,5,149947.8,247.2,682.3,1027.2,1197.2,683.1,1029.6,1209.7,682.2,1028.2,1218.4,7.15,0,0,none,
ref,put-reserve-delete,100,16,1,6,191208.0,213.6,499.2,848.5,1462.4,499.8,851.0,1495.5,499.1,848.5,1488.8,7.54,0,0,none,
rs,put-reserve-delete,100,16,1,6,171318.3,215.5,544.9,1251.2,2052.9,545.6,1250.0,2061.4,545.4,1247.3,2050.8,7.66,0,0,none,
ref,put-reserve-delete,100,16,1,7,208185.1,195.1,472.7,667.2,842.7,473.0,669.5,850.9,472.4,666.5,825.9,7.92,0,0,none,
