server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct
ref,put-reserve-delete,10,16,1,1,173614.0,134.0,54.0,127.0,220.0,54.2,126.9,223.1,53.9,126.5,222.0,4.86,0,0,none,
rs,put-reserve-delete,10,16,1,1,160075.8,138.7,57.2,154.6,253.0,57.2,153.6,249.0,56.9,153.2,244.1,4.95,0,0,none,
ref,put-reserve-delete,10,16,1,2,172725.9,134.8,54.3,131.8,190.5,54.3,132.8,190.9,54.0,132.2,188.4,5.04,0,0,none,
rs,put-reserve-delete,10,16,1,2,177914.7,132.0,53.6,111.7,171.3,53.7,111.3,170.6,53.5,111.0,171.2,5.35,0,0,none,
ref,put-reserve-delete,10,16,1,3,177606.6,130.3,53.8,110.7,153.3,53.9,110.8,155.8,53.5,110.7,156.0,5.49,0,0,none,
rs,put-reserve-delete,10,16,1,3,148158.9,142.5,61.4,159.7,283.9,61.6,160.1,286.9,61.2,159.5,287.7,5.37,0,0,none,
ref,put-reserve-delete,10,16,1,4,177129.8,131.9,53.8,113.2,161.5,54.0,113.2,159.8,53.6,112.9,161.5,5.74,0,0,none,
rs,put-reserve-delete,10,16,1,4,180580.1,131.6,53.0,106.8,155.4,53.2,107.4,154.6,52.8,106.5,156.1,5.44,0,0,none,
ref,put-reserve-delete,10,16,1,5,161280.0,139.2,57.4,143.0,210.5,57.5,143.6,210.8,57.3,142.0,211.0,5.48,0,0,none,
rs,put-reserve-delete,10,16,1,5,165433.2,136.7,56.0,144.3,226.0,56.0,144.0,228.5,55.8,143.6,222.2,5.52,0,0,none,
ref,put-reserve-delete,10,4096,1,1,156946.8,142.4,58.7,161.3,251.0,58.5,159.8,248.3,57.6,157.7,248.3,5.88,0,0,none,
rs,put-reserve-delete,10,4096,1,1,172516.5,139.6,55.6,118.2,169.3,55.4,117.8,167.2,54.5,116.3,166.2,6.05,0,0,none,
ref,put-reserve-delete,10,4096,1,2,175752.0,136.4,54.8,110.8,172.3,54.6,110.3,170.8,53.9,109.5,168.3,6.29,0,0,none,
rs,put-reserve-delete,10,4096,1,2,175118.3,139.2,54.9,113.5,157.8,54.7,113.1,157.9,53.9,112.1,156.8,6.10,0,0,none,
ref,put-reserve-delete,10,4096,1,3,173804.0,138.6,55.3,115.6,163.2,55.0,114.5,160.2,54.3,113.4,160.2,6.26,0,0,none,
rs,put-reserve-delete,10,4096,1,3,173890.8,138.9,55.2,116.0,176.0,55.0,114.5,170.9,54.2,113.6,171.6,6.65,0,0,none,
ref,put-reserve-delete,10,4096,1,4,172524.2,139.4,55.4,118.9,172.9,55.2,118.0,171.0,54.5,117.0,170.6,6.92,0,0,none,
rs,put-reserve-delete,10,4096,1,4,157918.1,145.0,60.0,133.2,172.2,59.8,132.9,169.7,59.0,131.5,169.8,7.17,0,0,none,
ref,put-reserve-delete,10,4096,1,5,170736.7,130.5,53.9,151.9,333.6,53.8,150.3,329.1,53.1,147.6,325.7,8.91,0,0,none,
rs,put-reserve-delete,10,4096,1,5,176936.8,137.0,54.5,109.4,165.9,54.3,109.5,165.4,53.6,108.1,164.5,9.80,0,0,none,
ref,put-reserve-delete,100,16,1,1,220546.4,177.6,447.8,602.8,785.2,448.1,603.6,784.2,447.7,603.1,776.0,9.82,0,0,none,
rs,put-reserve-delete,100,16,1,1,214821.2,188.5,456.0,663.5,976.6,456.4,665.5,965.8,456.0,660.5,979.8,9.75,0,0,none,
ref,put-reserve-delete,100,16,1,2,218730.6,181.7,444.3,680.8,1169.0,444.5,682.0,1229.2,444.2,681.2,1226.0,9.85,0,0,none,
rs,put-reserve-delete,100,16,1,2,207616.0,197.3,455.0,752.9,1191.0,455.3,758.0,1453.4,455.0,756.2,1256.8,10.18,0,0,none,
ref,put-reserve-delete,100,16,1,3,220398.9,179.5,445.6,644.3,768.3,446.0,643.9,761.8,445.5,643.2,761.6,11.05,0,0,none,
rs,put-reserve-delete,100,16,1,3,209226.0,194.8,462.1,757.9,915.2,462.5,759.0,906.5,462.0,754.8,902.8,10.64,0,0,none,
ref,put-reserve-delete,100,16,1,4,205329.6,201.6,477.8,675.6,823.7,478.1,675.8,826.8,477.6,673.4,814.8,10.19,0,0,none,
rs,put-reserve-delete,100,16,1,4,208119.0,198.8,474.8,641.4,902.1,475.2,642.4,866.8,474.5,640.4,870.8,10.18,0,0,none,
ref,put-reserve-delete,100,16,1,5,207224.3,199.8,475.6,652.5,814.1,475.9,654.6,822.0,475.6,653.7,810.0,9.84,0,0,none,
rs,put-reserve-delete,100,16,1,5,208279.5,196.7,474.3,650.5,789.7,474.7,651.0,787.9,474.0,651.1,793.0,9.53,0,0,none,
ref,put-reserve-delete,100,4096,1,1,205908.8,207.7,480.1,652.0,771.5,480.0,652.2,771.3,479.2,649.9,762.8,9.41,0,0,none,
rs,put-reserve-delete,100,4096,1,1,204223.7,209.1,485.0,649.3,793.0,484.9,649.4,789.1,483.8,647.6,792.2,9.06,0,0,none,
ref,put-reserve-delete,100,4096,1,2,202696.9,207.2,483.9,728.9,1428.9,483.9,729.3,1460.7,483.0,724.9,1415.5,8.89,0,0,none,
rs,put-reserve-delete,100,4096,1,2,202659.3,209.8,486.5,695.9,903.7,486.4,697.1,903.6,485.5,693.7,903.4,8.74,0,0,none,
ref,put-reserve-delete,100,4096,1,3,202853.9,208.6,485.0,686.3,878.1,484.8,685.7,878.2,484.1,683.5,879.5,8.16,0,0,none,
rs,put-reserve-delete,100,4096,1,3,204014.0,210.8,484.8,658.1,809.6,485.0,654.2,794.8,483.9,653.7,797.1,8.55,0,0,none,
