server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes
ref,put-reserve-delete,1,16,1,1,37753.9,32.4,22.1,76.1,111.7,22.6,76.4,114.9,21.8,76.2,117.1,9.51,0,0
rs,put-reserve-delete,1,16,1,1,34912.6,36.0,24.4,75.2,108.3,24.6,76.6,109.3,24.1,74.8,107.0,9.15,0,0
ref,put-reserve-delete,1,16,1,2,34089.7,32.9,25.1,77.1,107.5,25.6,77.1,109.3,24.8,76.0,107.0,8.98,0,0
rs,put-reserve-delete,1,16,1,2,34735.0,35.5,24.6,75.7,107.6,24.9,75.0,105.7,24.4,75.4,107.9,8.66,0,0
ref,put-reserve-delete,1,16,1,3,35169.9,33.1,24.1,76.1,108.0,24.7,74.5,105.5,24.0,73.8,104.2,8.53,0,0
rs,put-reserve-delete,1,16,1,3,34280.1,35.4,24.7,79.2,113.7,24.9,79.7,114.4,24.5,79.5,113.0,8.32,0,0
ref,put-reserve-delete,1,4096,1,1,32125.2,32.2,26.0,89.6,275.1,25.7,90.2,259.2,24.5,89.4,314.3,8.14,0,0
rs,put-reserve-delete,1,4096,1,1,42089.4,37.6,20.0,79.5,132.1,19.8,79.6,129.9,18.8,77.7,133.2,8.21,0,0
ref,put-reserve-delete,1,4096,1,2,45800.2,35.4,17.9,78.3,125.0,18.1,79.1,123.2,16.8,76.4,123.3,9.07,0,0
rs,put-reserve-delete,1,4096,1,2,36919.5,36.8,23.4,79.5,119.8,23.1,80.2,120.7,21.9,77.5,113.2,8.65,0,0
ref,put-reserve-delete,1,4096,1,3,32903.0,33.1,26.3,82.5,114.6,26.1,81.5,115.2,24.8,79.7,115.5,8.36,0,0
rs,put-reserve-delete,1,4096,1,3,30638.0,35.3,27.5,86.5,289.7,27.2,86.8,295.1,25.9,84.1,315.3,8.41,0,0
ref,put-reserve-delete,10,16,1,1,36054.8,46.7,167.7,2425.7,5232.4,168.7,2324.1,5249.2,166.7,2380.4,5242.4,9.42,0,0
rs,put-reserve-delete,10,16,1,1,81953.0,141.6,100.2,577.4,3036.7,100.7,581.0,3169.3,99.8,601.0,3311.7,9.87,0,0
ref,put-reserve-delete,10,16,1,2,101314.0,86.0,89.6,226.2,334.2,90.6,226.2,340.4,89.2,225.3,344.8,9.96,0,0
rs,put-reserve-delete,10,16,1,2,110347.0,176.8,87.8,174.3,220.8,88.2,174.0,223.5,87.4,173.6,221.5,9.72,0,0
ref,put-reserve-delete,10,16,1,3,109309.3,87.2,85.2,205.5,263.2,85.9,206.0,262.4,84.8,204.5,263.9,9.66,0,0
rs,put-reserve-delete,10,16,1,3,111706.0,177.4,86.9,169.7,207.0,87.2,169.3,204.9,86.6,168.1,205.8,9.37,0,0
ref,put-reserve-delete,10,4096,1,1,106497.9,88.7,98.6,231.9,301.6,84.5,194.9,245.5,81.3,191.6,245.1,9.58,0,0
rs,put-reserve-delete,10,4096,1,1,105889.3,181.8,92.3,182.1,229.2,91.6,180.9,231.4,90.1,178.4,225.7,9.61,0,0
ref,put-reserve-delete,10,4096,1,2,104668.9,87.6,99.7,234.2,300.4,86.6,196.8,250.3,83.0,192.8,243.3,9.48,0,0
rs,put-reserve-delete,10,4096,1,2,106836.7,181.1,91.7,177.6,230.6,91.1,176.0,224.8,89.6,173.8,220.8,9.28,0,0
ref,put-reserve-delete,10,4096,1,3,105569.5,87.2,99.5,231.8,292.9,86.3,192.8,247.1,82.8,188.5,241.9,9.58,0,0
rs,put-reserve-delete,10,4096,1,3,107029.8,183.2,91.4,177.2,226.0,90.9,176.2,221.9,89.4,174.2,224.2,9.37,0,0
ref,put-reserve-delete,100,16,1,1,114148.5,96.7,838.1,1806.1,3460.8,841.3,1791.1,3384.3,837.8,1786.1,3329.4,9.24,0,0
rs,put-reserve-delete,100,16,1,1,126058.5,243.6,791.0,1065.2,1255.3,791.5,1068.5,1272.4,790.7,1066.3,1249.8,9.30,0,0
ref,put-reserve-delete,100,16,1,2,121492.4,98.5,814.2,1132.4,1510.0,817.2,1132.9,1508.8,813.8,1128.9,1526.0,9.36,0,0
rs,put-reserve-delete,100,16,1,2,127172.3,243.8,782.5,1059.9,1357.3,783.0,1061.4,1418.1,782.4,1061.3,1419.9,9.41,0,0
ref,put-reserve-delete,100,16,1,3,123243.6,98.8,806.2,1080.7,1310.5,807.5,1085.3,1317.9,805.7,1082.9,1305.0,9.70,0,0
