server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes
ref,put-reserve-delete,10,16,1,1,135910.1,89.2,69.0,146.6,202.5,69.9,147.6,205.2,68.6,146.0,202.2,10.96,0,0
rs,put-reserve-delete,10,16,1,1,125341.2,163.4,75.0,174.0,270.8,75.1,175.3,278.7,74.6,173.7,268.7,10.73,0,0
ref,put-reserve-delete,10,16,1,2,114386.5,85.5,80.9,200.2,265.6,81.7,200.7,267.9,80.4,198.2,267.6,10.51,0,0
rs,put-reserve-delete,10,16,1,2,121277.7,170.0,79.4,160.4,210.0,79.5,161.3,210.7,79.2,160.4,209.1,10.47,0,0
ref,put-reserve-delete,10,16,1,3,120150.8,87.0,77.4,187.9,248.9,78.2,189.2,250.3,76.8,186.2,249.4,9.69,0,0
rs,put-reserve-delete,10,16,1,3,121293.2,172.5,79.7,158.1,193.9,80.0,158.8,196.2,79.4,158.6,193.8,9.39,0,0
ref,put-reserve-delete,10,16,1,1,11017.6,95.5,878.9,2352.0,2708.6,921.2,2417.8,2746.0,851.4,2405.6,2692.6,9.52,10000,10000
rs,put-reserve-delete,10,16,1,1,116964.0,172.1,80.7,164.8,1630.7,80.8,165.2,1672.2,80.2,164.3,1675.1,9.16,10000,10000
ref,put-reserve-delete,10,16,1,2,10835.6,96.2,921.0,2299.9,2545.9,946.5,2252.6,2562.5,890.4,2231.8,2509.4,9.22,10000,10000
rs,put-reserve-delete,10,16,1,2,111349.5,173.1,84.2,174.8,1617.1,84.7,175.0,1635.8,83.9,175.1,1663.5,8.89,10000,10000
ref,put-reserve-delete,10,16,1,3,11068.5,95.7,861.4,2520.9,4014.5,881.6,2607.8,4373.3,842.6,2484.9,4375.0,9.38,10000,10000
rs,put-reserve-delete,10,16,1,3,117413.2,169.6,80.2,165.8,1543.5,80.4,165.6,1566.6,79.9,165.3,1547.0,9.19,10000,10000
