server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg
ref,put-reserve-delete,1,16,1,1,48263.1,34.1,18.7,44.8,78.1,19.2,45.6,75.3,18.5,44.5,75.5,7.38
rs,put-reserve-delete,1,16,1,1,45559.9,37.8,19.6,50.0,87.0,20.4,50.8,87.2,19.4,51.1,88.7,7.11
ref,put-reserve-delete,1,16,1,2,46763.9,33.7,19.2,48.4,81.2,19.8,49.5,79.5,19.0,47.7,81.4,7.10
rs,put-reserve-delete,1,16,1,2,44517.3,38.0,20.0,52.9,91.0,20.8,53.2,90.2,19.8,53.2,90.5,6.77
ref,put-reserve-delete,1,16,1,3,47894.2,34.0,18.8,46.7,81.6,19.3,47.4,80.2,18.7,46.7,80.0,6.47
rs,put-reserve-delete,1,16,1,3,45724.6,37.9,19.6,49.8,83.6,20.4,50.4,86.0,19.4,50.2,86.9,6.51
ref,put-reserve-delete,1,4096,1,1,47418.5,34.4,19.5,46.0,75.1,19.5,45.4,77.1,18.5,44.0,72.8,6.55
rs,put-reserve-delete,1,4096,1,1,46700.8,38.4,19.5,47.2,76.9,20.0,46.4,72.6,18.5,46.0,74.7,6.26
ref,put-reserve-delete,1,4096,1,2,48652.5,34.4,19.0,45.2,76.0,19.0,44.4,72.0,18.0,43.6,74.2,5.92
rs,put-reserve-delete,1,4096,1,2,46273.8,38.4,19.8,47.2,76.8,20.2,46.8,77.5,18.8,46.3,76.7,5.69
ref,put-reserve-delete,1,4096,1,3,48172.2,34.6,19.2,45.0,74.2,19.2,44.6,71.2,18.2,43.4,73.2,5.55
rs,put-reserve-delete,1,4096,1,3,50115.3,38.4,18.3,43.3,75.3,18.9,42.9,74.8,17.4,43.3,76.3,5.35
ref,put-reserve-delete,10,16,1,1,140831.1,88.6,67.1,135.4,185.0,67.9,136.1,183.5,66.7,135.7,185.2,5.32
rs,put-reserve-delete,10,16,1,1,127965.9,177.8,75.7,160.5,205.0,74.7,158.6,202.0,73.4,156.6,201.8,5.37
ref,put-reserve-delete,10,16,1,2,137937.7,81.7,71.4,136.9,194.6,72.3,136.9,193.6,70.8,136.2,190.5,5.26
