server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes
ref,put-reserve-delete,10,16,16,1,252694.3,98.4,369.0,910.8,1710.1,329.0,791.7,1504.8,322.8,799.0,1451.3,10.79,0,0
rs,put-reserve-delete,10,16,16,1,221951.2,298.8,424.6,945.5,1104.0,416.9,925.1,1076.0,404.1,897.6,1053.8,10.65,0,0
ref,put-reserve-delete,10,16,16,2,242575.5,98.4,396.4,855.4,1008.8,348.7,736.3,898.7,343.2,739.6,878.2,10.22,0,0
rs,put-reserve-delete,10,16,16,2,224969.5,305.0,421.6,939.9,1111.9,413.9,916.5,1067.5,400.9,887.2,1035.8,9.88,0,0
ref,put-reserve-delete,10,16,16,3,218652.4,95.8,434.3,991.8,1325.8,383.7,861.5,1215.6,377.3,876.2,1241.2,10.13,0,0
rs,put-reserve-delete,10,16,16,3,236809.3,304.3,400.0,909.2,1133.9,393.1,890.7,1092.2,382.9,861.2,1091.9,9.96,0,0
ref,put-reserve-delete,100,16,16,1,205415.9,95.4,4190.2,8866.4,10282.2,4430.8,9149.6,10663.6,4086.6,8408.7,9984.9,12.61,0,0
rs,put-reserve-delete,100,16,16,1,73886.3,187.5,13477.5,28937.2,32309.9,12545.1,26034.1,28140.4,8605.8,17825.5,19282.2,12.32,0,0
ref,put-reserve-delete,100,16,16,2,214011.0,97.9,4099.1,9256.6,11769.8,4071.3,8871.0,11079.7,3935.3,8747.0,10461.6,12.13,0,0
rs,put-reserve-delete,100,16,16,2,63330.3,175.9,16082.9,37860.4,44227.4,13958.0,31245.2,37071.6,9686.2,22474.0,27997.8,11.72,0,0
ref,put-reserve-delete,100,16,16,3,225523.2,97.1,3771.1,9969.2,15779.4,3810.2,9511.1,17488.8,3662.9,10427.1,17900.1,11.42,0,0
rs,put-reserve-delete,100,16,16,3,71957.5,169.2,13788.3,31242.7,33079.7,12337.9,27279.8,28842.4,8705.3,18486.3,19241.7,11.31,0,0
