server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes
ref,put-reserve-delete,10,16,1,1,116508.7,87.9,80.0,191.3,251.1,80.5,192.5,250.2,79.3,191.4,246.9,8.86,0,0
rs,put-reserve-delete,10,16,1,1,109057.7,198.1,89.7,184.0,234.3,88.4,182.0,236.2,86.6,179.5,230.0,8.87,0,0
ref,put-reserve-delete,10,16,1,2,116332.0,87.9,80.0,192.3,257.5,80.5,194.3,261.0,79.2,191.3,256.9,8.64,0,0
rs,put-reserve-delete,10,16,1,2,110781.8,196.1,88.7,177.1,221.3,87.2,175.1,223.1,85.6,172.3,216.1,8.51,0,0
ref,put-reserve-delete,10,16,1,3,123293.7,89.1,75.8,174.7,231.0,76.5,174.6,228.4,75.3,172.8,229.5,8.71,0,0
rs,put-reserve-delete,10,16,1,3,104350.9,198.4,93.3,191.3,240.8,92.1,188.7,239.5,90.2,186.9,236.9,8.49,0,0
ref,put-reserve-delete,10,16,1,1,11502.2,96.4,857.0,2376.5,2663.1,886.4,2390.0,2698.0,813.2,2207.8,2631.4,9.33,10000,10000
rs,put-reserve-delete,10,16,1,1,723.9,100.0,14826.8,24740.1,28236.4,14732.6,24013.8,27011.6,10053.1,18980.4,20491.2,8.42,10000,10000
ref,put-reserve-delete,10,16,1,2,10929.7,96.4,901.6,2247.5,2729.5,931.6,2414.5,2756.4,863.1,2314.0,2698.3,8.72,10000,10000
rs,put-reserve-delete,10,16,1,2,631.5,100.3,15028.7,55831.2,100317.8,15360.6,68718.4,109822.6,10665.7,41248.7,71650.5,8.58,10000,10000
ref,put-reserve-delete,10,16,1,3,11468.8,96.4,866.0,2384.5,2758.9,893.6,2399.8,2753.0,827.7,2364.4,2717.3,9.67,10000,10000
rs,put-reserve-delete,10,16,1,3,789.2,102.4,13884.7,21468.0,25713.0,14215.1,21621.5,25636.1,9532.7,15452.2,16823.8,9.62,10000,10000
