server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,put-reserve-delete,1,16,1,1,47052.8,36.2,19.3,46.5,87.9,19.4,46.7,82.7,19.1,46.3,84.7,4.80,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,1,16,1,1,5341.7,79.8,245.6,359.1,551.3,152.5,235.7,336.3,149.0,229.2,359.3,4.60,0,0,cluster-leader,,3,leader,167.8,1:F:43.6;2:F:44.8;3:L*:79.4,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,1,4279.9,45.1,304.1,451.6,620.5,189.9,305.3,530.5,187.5,296.2,430.2,4.87,0,0,cluster-follower,,3,follower,144.9,1:F*:45.0;2:F:34.8;3:L:65.1,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,2,55980.4,39.8,16.6,45.5,95.1,16.7,45.0,88.8,16.4,45.3,83.3,4.96,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,1,16,1,2,5190.0,80.1,252.3,409.8,528.7,156.2,261.9,331.7,152.7,253.2,328.6,4.96,0,0,cluster-leader,,3,leader,170.2,1:F:45.4;2:F:45.0;3:L*:79.8,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,2,4060.4,45.1,307.5,638.5,1039.8,192.5,410.9,749.4,191.0,418.3,996.1,4.96,0,0,cluster-follower,,3,follower,147.8,1:F*:45.0;2:F:36.2;3:L:66.6,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,3,47732.8,36.4,19.1,46.0,84.0,19.2,46.2,84.3,18.8,45.0,77.7,5.04,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,1,16,1,3,4743.6,79.4,259.0,549.8,2053.8,161.7,352.5,1037.1,157.4,336.3,916.0,5.12,0,0,cluster-leader,,3,leader,167.2,1:L*:79.0;2:F:43.6;3:F:44.6,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,3,3911.8,45.4,312.3,692.5,1586.8,194.4,445.9,1844.3,192.3,438.7,955.0,5.31,0,0,cluster-follower,,3,follower,145.7,1:F*:45.2;2:F:35.4;3:L:65.1,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,4,48064.6,36.3,18.9,46.3,84.4,19.1,46.0,81.0,18.8,45.5,81.2,5.28,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,1,16,1,4,4908.3,80.5,255.9,513.3,886.3,159.5,324.7,886.1,156.0,319.4,834.0,5.34,0,0,cluster-leader,,3,leader,171.4,1:F:45.6;2:F:45.6;3:L*:80.2,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,4,4269.0,45.9,308.0,429.2,606.2,189.7,279.9,355.0,188.4,280.2,368.3,5.55,0,0,cluster-follower,,3,follower,146.6,1:F*:45.8;2:F:34.3;3:L:66.5,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,5,47744.6,36.4,19.0,44.9,83.9,19.2,45.2,83.1,18.8,45.2,87.3,5.35,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,1,16,1,5,5322.5,79.3,248.4,354.2,626.2,153.8,233.1,376.6,149.8,227.4,324.8,5.23,0,0,cluster-leader,,3,leader,167.7,1:F:44.6;2:F:44.0;3:L*:79.1,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,5,4313.3,44.8,300.3,449.9,779.4,189.2,293.2,503.3,186.4,291.6,435.3,5.53,0,0,cluster-follower,,3,follower,146.3,1:F*:44.6;2:F:35.6;3:L:66.1,0,0,0,0,0,0,0,0
