server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,put-reserve-delete,100,16,1,1,28080.5,97.5,3619.1,4473.2,5124.5,3569.9,4419.9,4998.0,3563.0,4419.2,5038.9,6.25,0,0,cluster-leader,,3,leader,110.7,1:L*:96.9;2:F:6.9;3:F:6.9,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,1,28541.6,97.8,3532.3,4597.9,11142.8,3492.2,4577.9,10866.5,3485.0,4519.2,11279.0,6.71,0,0,cluster-mtls-leader,,3,leader,111.7,1:F:7.1;2:F:7.3;3:L*:97.3,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,1,21115.2,41.5,4731.6,6065.1,9756.4,4701.8,6062.6,72122.7,4692.1,6041.2,9795.4,6.21,0,0,cluster-mtls-follower,,3,follower,86.2,1:F*:41.3;2:F:6.5;3:L:38.4,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,2,28330.1,98.8,3587.1,4557.7,4852.9,3529.8,4385.1,4645.0,3521.2,4330.8,4618.7,6.35,0,0,cluster-leader,,3,leader,112.8,1:F:7.5;2:F:7.1;3:L*:98.2,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,2,28763.5,98.9,3526.9,4458.9,4716.7,3472.9,4314.8,4575.7,3464.2,4305.4,4567.0,6.15,0,0,cluster-mtls-leader,,3,leader,113.2,1:F:7.5;2:F:7.5;3:L*:98.2,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,2,18859.0,36.6,5244.4,8431.9,16013.7,5107.2,8381.8,9430.2,5116.8,8339.4,16093.1,6.05,0,0,cluster-mtls-follower,,3,follower,87.7,1:F*:36.5;2:F:6.2;3:L:45.0,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,3,26425.7,95.9,3674.7,7360.4,8637.6,3610.5,7028.3,8757.9,3604.5,7050.9,8758.0,5.89,0,0,cluster-leader,,3,leader,109.5,1:F:7.1;2:F:7.1;3:L*:95.3,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,3,28546.1,97.2,3532.5,5319.5,7023.3,3485.8,5077.0,6779.7,3480.3,5178.7,7113.3,6.11,0,0,cluster-mtls-leader,,3,leader,111.2,1:F:7.3;2:F:7.5;3:L*:96.4,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,3,21509.9,42.6,4720.7,6080.6,6397.4,4648.0,6063.2,6408.3,4636.9,6059.1,6406.5,5.86,0,0,cluster-mtls-follower,,3,follower,87.3,1:F*:42.6;2:F:6.8;3:L:37.9,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,4,27725.0,99.1,3663.2,4625.8,4945.5,3614.8,4456.6,4884.4,3603.5,4409.7,4815.2,5.66,0,0,cluster-leader,,3,leader,112.8,1:F:7.3;2:F:7.3;3:L*:98.2,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,4,28196.9,98.1,3567.8,5523.6,6384.2,3526.2,5340.1,6130.6,3521.0,5248.4,6446.0,5.77,0,0,cluster-mtls-leader,,3,leader,112.2,1:L*:97.4;2:F:7.3;3:F:7.5,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,4,21108.0,41.5,4796.4,6128.7,6516.0,4767.0,6089.5,6493.9,4774.3,6091.1,6500.7,5.79,0,0,cluster-mtls-follower,,3,follower,86.7,1:F*:41.5;2:F:6.3;3:L:38.9,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,5,30178.1,98.6,3329.1,4773.4,7663.4,3278.9,4530.3,7720.2,3278.6,4450.0,7701.4,5.51,0,0,cluster-leader,,3,leader,113.5,1:F:7.8;2:F:7.8;3:L*:97.9,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,5,28249.8,98.0,3572.7,4504.2,6666.4,3531.5,4410.9,6483.5,3524.4,4386.8,6871.2,5.55,0,0,cluster-mtls-leader,,3,leader,112.4,1:F:7.5;2:F:7.5;3:L*:97.4,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,16,1,5,21999.2,44.7,4592.2,5928.8,11273.0,4512.9,5882.5,10493.2,4501.3,5880.8,7161.1,5.50,0,0,cluster-mtls-follower,,3,follower,88.0,1:F*:44.6;2:F:6.8;3:L:36.6,0,0,0,0,0,0,0,0
rs,put-reserve-delete,100,4096,1,1,20701.7,74.2,3664.0,22401.0,45450.8,3569.7,21707.9,66344.2,3555.5,21719.9,45348.1,5.35,0,0,cluster-leader,,3,leader,87.6,1:F:6.9;2:F:6.9;3:L*:73.8,0,0,0,0,0,0,0,0
