server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,put-reserve-delete,10,16,1,1,141264.5,151.7,66.2,152.3,339.8,66.3,153.6,352.7,65.9,152.2,347.0,3.64,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,16,1,1,18754.6,90.1,490.5,1271.7,7127.4,471.8,1181.2,5874.1,469.5,1209.4,7349.5,3.91,0,0,cluster-leader,,3,leader,144.8,1:L*:89.8;2:F:27.6;3:F:27.4,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,16,1,1,13668.3,57.2,655.2,1981.5,13721.1,631.5,1747.4,16316.5,621.8,1840.5,16384.0,4.42,0,0,cluster-follower,,3,follower,155.9,1:F*:57.0;2:F:27.6;3:L:71.3,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,16,1,2,145270.9,156.9,66.1,135.2,173.4,66.2,134.6,172.0,65.7,134.7,171.3,4.38,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,16,1,2,23095.3,93.5,440.2,615.0,755.2,425.2,587.2,704.4,423.7,580.7,723.5,4.51,0,0,cluster-leader,,3,leader,152.2,1:F:29.2;2:F:30.0;3:L*:93.0,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,16,1,2,15262.0,52.9,598.0,1531.3,6923.1,578.5,1523.0,12147.6,572.1,1543.0,10488.8,4.47,0,0,cluster-follower,,3,follower,151.2,1:F*:52.7;2:F:25.8;3:L:72.7,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,16,1,3,144813.2,156.0,65.9,139.2,198.4,66.0,139.2,192.1,65.6,138.1,192.5,7.24,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,16,1,3,22223.2,93.3,458.5,630.9,796.5,441.1,604.8,718.8,439.9,604.2,704.9,6.57,0,0,cluster-leader,,3,leader,149.2,1:F:28.6;2:F:27.8;3:L*:92.8,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,16,1,3,18832.4,56.7,542.9,755.1,925.7,524.1,731.3,936.2,519.3,734.7,881.6,6.45,0,0,cluster-follower,,3,follower,162.7,1:F*:56.4;2:F:28.4;3:L:77.9,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,16,1,4,149264.8,152.1,63.5,138.1,192.3,63.8,138.2,195.7,63.3,137.5,194.4,6.49,0,0,none,,,,,,,,,,,,,
