server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,put-reserve-delete,1,16,1,1,57683.3,37.2,16.7,33.8,59.8,16.7,33.9,64.5,16.5,33.0,58.7,8.41,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,1,16,1,1,6493.7,79.7,148.8,250.6,323.6,148.3,251.8,308.7,147.8,249.4,321.2,7.33,0,0,cluster-leader,,3,leader,166.7,1:F:43.6;2:F:43.6;3:L*:79.5,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,1,5584.3,47.8,172.0,290.7,380.2,171.5,291.6,380.6,171.2,293.4,372.7,6.83,0,0,cluster-follower,,3,follower,151.3,1:F*:47.6;2:F:36.4;3:L:67.3,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,2,57504.4,37.7,16.8,33.1,57.9,16.9,33.2,58.6,16.6,33.0,59.9,6.60,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,1,16,1,2,6676.7,81.5,145.9,233.1,303.6,145.5,227.4,289.0,145.0,228.9,288.0,6.39,0,0,cluster-leader,,3,leader,168.4,1:F:43.6;2:F:43.8;3:L*:81.0,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,2,5718.5,48.5,169.7,271.0,358.4,169.1,271.8,354.6,168.9,276.8,337.3,6.00,0,0,cluster-follower,,3,follower,152.3,1:F*:48.2;2:F:37.0;3:L:67.1,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,3,58448.5,37.8,16.8,31.7,51.1,16.8,31.7,52.5,16.5,31.5,51.8,5.76,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,1,16,1,3,6456.2,78.7,148.4,249.3,344.9,148.1,250.8,356.4,147.7,247.4,328.8,5.54,0,0,cluster-leader,,3,leader,164.9,1:F:42.8;2:F:43.6;3:L*:78.5,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,3,5690.7,47.7,169.7,280.8,342.5,169.5,278.5,340.5,169.5,288.0,382.2,5.42,0,0,cluster-follower,,3,follower,152.7,1:F*:47.6;2:F:36.8;3:L:68.3,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,4,57936.5,37.1,16.7,34.0,54.6,16.7,34.1,58.0,16.5,33.4,56.0,5.14,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,1,16,1,4,6485.8,79.1,148.3,249.7,335.8,147.9,249.3,332.4,147.4,246.5,338.5,4.89,0,0,cluster-leader,,3,leader,165.3,1:F:43.6;2:F:43.0;3:L*:78.7,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,4,5699.9,48.5,169.9,300.7,475.0,168.9,292.0,414.0,169.1,296.3,454.4,6.02,0,0,cluster-follower,,3,follower,152.7,1:F*:48.2;2:F:37.2;3:L:67.3,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,5,57409.5,37.5,16.8,34.2,59.2,16.8,34.1,59.2,16.5,34.0,56.5,5.94,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,1,16,1,5,6878.3,81.2,141.9,211.2,279.5,141.7,213.3,275.9,141.0,209.9,269.7,5.94,0,0,cluster-leader,,3,leader,168.9,1:F:44.6;2:F:43.4;3:L*:80.9,0,0,0,0,0,0,0,0
rs,put-reserve-delete,1,16,1,5,5628.1,47.4,171.7,264.5,343.6,171.0,265.5,383.8,171.0,260.2,368.4,5.86,0,0,cluster-follower,,3,follower,149.7,1:F*:47.2;2:F:35.6;3:L:66.9,0,0,0,0,0,0,0,0
