server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,put-reserve-delete,10,16,1,1,179364.5,130.7,53.5,105.6,168.0,53.6,105.3,165.5,53.3,104.6,164.6,4.44,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,16,1,1,34318.9,109.4,286.8,407.2,559.1,286.5,402.8,551.8,286.1,405.9,556.2,4.41,0,0,cluster-leader,,3,leader,210.0,1:F:49.9;2:F:51.1;3:L*:109.0,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,16,1,1,29183.9,91.6,321.4,516.8,629.5,321.6,514.3,617.9,321.7,512.0,616.8,4.78,0,0,cluster-follower,,3,follower,232.8,1:F*:91.2;2:F:52.4;3:L:89.2,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,16,1,2,180978.6,131.7,53.2,103.4,167.2,53.2,103.5,166.0,53.0,103.1,164.9,4.71,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,16,1,2,34959.0,107.8,281.7,379.7,515.8,281.5,379.2,512.4,280.8,379.0,477.8,5.11,0,0,cluster-leader,,3,leader,209.5,1:F:51.3;2:F:50.9;3:L*:107.3,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,16,1,2,29309.5,91.5,320.4,513.0,622.4,319.5,513.3,639.5,319.4,515.0,632.2,5.10,0,0,cluster-follower,,3,follower,232.3,1:F*:91.0;2:F:52.1;3:L:89.2,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,16,1,3,180455.8,131.0,53.2,103.9,171.6,53.3,104.2,172.2,53.0,104.0,171.2,5.26,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,16,1,3,34358.8,111.0,287.7,386.5,513.7,287.8,388.0,515.5,286.5,386.8,503.5,5.40,0,0,cluster-leader,,3,leader,213.7,1:F:51.7;2:F:51.5;3:L*:110.5,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,16,1,3,28806.5,93.0,327.5,514.2,642.1,327.7,511.5,650.5,326.3,510.3,632.2,5.01,0,0,cluster-follower,,3,follower,235.9,1:F*:92.6;2:F:53.1;3:L:90.2,0,0,0,0,0,0,0,0
rs,put-reserve-delete,10,16,1,4,180772.6,130.9,53.1,103.5,168.5,53.2,103.9,168.2,52.9,102.8,163.8,4.93,0,0,none,,,,,,,,,,,,,
