server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
ref,put-reserve-delete,10,16,1,1,174816.1,134.4,54.5,116.4,180.2,54.6,117.5,182.2,54.3,115.9,180.3,6.19,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,16,1,1,171807.5,134.1,55.3,119.9,179.0,55.5,121.1,179.8,55.2,119.9,177.7,6.09,0,0,none,,,,,,,,,,,,,
ref,put-reserve-delete,10,16,1,2,176985.6,133.0,54.0,110.7,168.8,54.2,110.9,167.8,53.9,110.6,170.2,6.00,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,16,1,2,177390.6,131.9,54.0,111.5,170.6,54.0,111.3,168.7,53.8,110.6,169.3,5.92,0,0,none,,,,,,,,,,,,,
ref,put-reserve-delete,10,16,1,3,174265.2,133.9,54.5,118.1,179.8,54.7,118.3,180.9,54.4,117.7,178.2,5.85,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,16,1,3,176232.1,134.1,54.1,115.5,167.2,54.1,115.5,167.0,53.8,115.0,167.5,5.54,0,0,none,,,,,,,,,,,,,
ref,put-reserve-delete,10,4096,1,1,169156.6,140.7,56.6,122.5,171.0,56.3,121.6,170.6,55.6,120.5,168.2,5.58,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,4096,1,1,169745.6,140.5,56.4,122.0,162.1,56.2,122.0,161.2,55.4,120.0,159.1,5.69,0,0,none,,,,,,,,,,,,,
ref,put-reserve-delete,10,4096,1,2,172082.5,140.0,55.8,118.2,170.4,55.6,117.4,165.7,54.8,116.0,166.0,5.80,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,4096,1,2,170358.9,140.0,56.3,120.0,164.0,56.1,119.2,163.5,55.3,117.8,160.2,6.21,0,0,none,,,,,,,,,,,,,
ref,put-reserve-delete,10,4096,1,3,173403.8,137.1,55.6,113.2,167.8,55.3,112.4,165.9,54.6,111.2,164.0,6.20,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,10,4096,1,3,174636.9,138.6,55.2,112.6,167.5,54.9,112.3,167.0,54.1,110.5,164.8,6.00,0,0,none,,,,,,,,,,,,,
ref,put-reserve-delete,100,16,1,1,204454.0,201.4,481.9,658.0,769.0,482.1,659.7,771.1,481.5,658.5,763.1,6.16,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,16,1,1,201614.9,202.4,485.4,699.6,842.3,485.8,701.2,843.8,485.2,699.3,824.8,6.39,0,0,none,,,,,,,,,,,,,
ref,put-reserve-delete,100,16,1,2,201456.8,205.6,483.6,735.8,873.0,484.0,736.2,869.7,483.4,734.4,872.9,6.60,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,16,1,2,203589.7,201.5,483.0,663.9,859.0,483.3,664.4,880.0,482.9,663.8,868.6,6.39,0,0,none,,,,,,,,,,,,,
ref,put-reserve-delete,100,16,1,3,198257.2,206.9,488.2,756.4,897.5,488.2,757.7,897.4,487.8,755.9,884.5,6.20,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,16,1,3,204706.7,202.1,480.4,674.6,808.2,480.7,674.9,820.7,480.2,673.3,805.7,6.42,0,0,none,,,,,,,,,,,,,
ref,put-reserve-delete,100,4096,1,1,194417.3,216.4,499.0,764.2,937.1,499.1,764.0,945.2,498.0,759.5,914.9,6.63,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,4096,1,1,197826.7,214.8,494.2,754.4,976.4,494.1,755.1,990.5,493.2,754.8,1000.5,6.50,0,0,none,,,,,,,,,,,,,
ref,put-reserve-delete,100,4096,1,2,178241.2,219.5,511.5,1112.4,2030.7,511.1,1119.7,2002.7,510.0,1112.8,1955.2,6.62,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,4096,1,2,155006.7,230.7,614.4,1300.1,2077.0,614.5,1299.1,2059.2,612.6,1278.0,2008.8,6.81,0,0,none,,,,,,,,,,,,,
ref,put-reserve-delete,100,4096,1,3,191138.6,219.6,502.6,808.7,951.2,502.4,807.9,959.0,501.5,805.2,938.6,7.22,0,0,none,,,,,,,,,,,,,
rs,put-reserve-delete,100,4096,1,3,192204.8,219.7,503.0,789.7,945.3,502.8,788.3,946.5,501.9,785.5,938.2,7.45,0,0,none,,,,,,,,,,,,,
ref,producers-consumers,10,16,1,1,149013.9,141.7,59.6,178.0,390.5,59.8,178.1,374.5,59.3,176.6,408.1,7.33,0,0,none,,,,,,,,,,,,,
